id,title,genre,year,rating,description
1,Super Mario Galaxy: O Filme,Animation,2026,8.5,Mario e seus amigos partem em uma aventura intergaláctica pelo espaço.
2,Vingadores: Apocalipse,Action,2026,9.1,Os Vingadores enfrentam uma nova ameaça cósmica liderada pelo Doutor Destino.
3,Projeto Ave Maria,Sci-Fi,2026,8.9,Um astronauta acorda sozinho em uma nave e precisa salvar a humanidade.
4,O Mandaloriano e Grogu,Sci-Fi,2026,8.7,Din Djarin e Grogu levam sua jornada das telas para o cinema.
5,Toy Story 5,Animation,2026,8.4,Woody e Buzz retornam para uma nova aventura sobre a evolução da amizade.
6,Michael,Drama,2026,8.8,Cinebiografia que explora a vida complexa e o legado de Michael Jackson.
7,Homem-Aranha: Um Novo Dia,Action,2026,8.6,Peter Parker tenta equilibrar sua vida pessoal enquanto uma nova era de heróis surge.
8,Duna: Parte Três,Sci-Fi,2026,9.2,A conclusão épica da jornada de Paul Atreides e o destino de Arrakis.
9,Moana (Live-Action),Adventure,2026,8.3,A versão em carne e osso da jovem navegadora que cruza o oceano com Maui.
10,O Diabo Veste Prada 2,Comedy,2026,8.1,Miranda Priestly navega pelos desafios da era digital no mundo da moda.
11,Supergirl: Mulher do Amanhã,Action,2026,8.5,Kara Zor-El busca seu próprio destino em uma jornada épica pelo cosmos.
12,Mestres do Universo,Fantasy,2026,8.0,He-Man defende o castelo de Grayskull contra as forças malignas do Esqueleto.
13,Jogos Vorazes: O Amanhecer na Colheita,Thriller,2026,8.4,O prelúdio que explora os eventos do 50º Jogos Vorazes com Haymitch.
14,28 Anos Depois,Horror,2026,8.6,Quase três décadas após o surto inicial a luta pela sobrevivência continua.
15,Street Fighter,Action,2026,7.9,Guerreiros de todo o mundo se reúnem para um torneio de luta lendário.